id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,filename
241,Men,Apparel,Bottomwear,Pants,Purple,Summer,2020.0,Casual,-,images/241.jpg
242,Men,Apparel,Bottomwear,Pants,Purple,Summer,2020.0,Casual,-,images/242.jpg
243,Men,Apparel,Bottomwear,Pants,Purple,Summer,2020.0,Casual,-,images/243.jpg
244,Men,Apparel,Bottomwear,Pants,Purple,Summer,2020.0,Casual,-,images/244.jpg
245,Men,Apparel,Bottomwear,Pants,Purple,Summer,2020.0,Casual,-,images/245.jpg
246,Men,Apparel,Bottomwear,Pants,Purple,Summer,2020.0,Casual,-,images/246.jpg
247,Men,Apparel,Bottomwear,Pants,Purple,Summer,2020.0,Casual,-,images/247.jpg
248,Men,Apparel,Bottomwear,Pants,Purple,Summer,2020.0,Casual,-,images/248.jpg
249,Men,Apparel,Bottomwear,Pants,Purple,Summer,2020.0,Casual,-,images/249.jpg
250,Men,Apparel,Bottomwear,Pants,Purple,Summer,2020.0,Casual,-,images/250.jpg
251,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Sports,-,images/251.jpg
252,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Sports,-,images/252.jpg
253,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Sports,-,images/253.jpg
254,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/254.jpg
255,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/255.jpg
256,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/256.jpg
257,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/257.jpg
258,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/258.jpg
259,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/259.jpg
260,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/260.jpg
261,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/261.jpg
262,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/262.jpg
263,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/263.jpg
264,Men,Apparel,Bottomwear,Pants,Cream,Summer,2020.0,Sports,-,images/264.jpg
265,Men,Apparel,Bottomwear,Pants,Blue,Summer,2020.0,Formal,-,images/265.jpg
266,Men,Apparel,Bottomwear,Pants,Blue,Summer,2020.0,Formal,-,images/266.jpg
267,Men,Apparel,Bottomwear,Pants,Blue,Summer,2020.0,Formal,-,images/267.jpg
268,Men,Apparel,Bottomwear,Pants,Blue,Summer,2020.0,Formal,-,images/268.jpg
269,Men,Apparel,Bottomwear,Pants,Blue,Summer,2020.0,Formal,-,images/269.jpg
270,Men,Apparel,Bottomwear,Pants,Blue,Summer,2020.0,Formal,-,images/270.jpg
271,Men,Apparel,Bottomwear,Pants,Blue,Summer,2020.0,Formal,-,images/271.jpg
272,Men,Apparel,Bottomwear,Pants,Blue,Summer,2020.0,Formal,-,images/272.jpg
273,Men,Apparel,Bottomwear,Pants,Blue,Summer,2020.0,Formal,-,images/273.jpg
274,Men,Apparel,Bottomwear,Pants,Blue,Summer,2020.0,Formal,-,images/274.jpg
275,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/275.jpg
276,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/276.jpg
277,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/277.jpg
278,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/278.jpg
279,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/279.jpg
280,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/280.jpg
281,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/281.jpg
282,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/282.jpg
283,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/283.jpg
284,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/284.jpg
285,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/285.jpg
286,Women,Apparel,Bottomwear,Pants,White,Summer,2020.0,Formal,-,images/286.jpg
287,Women,Apparel,Bottomwear,Pants,White,Summer,2020.0,Formal,-,images/287.jpg
288,Women,Apparel,Bottomwear,Pants,White,Summer,2020.0,Formal,-,images/288.jpg
289,Women,Apparel,Bottomwear,Pants,White,Summer,2020.0,Formal,-,images/289.jpg
290,Women,Apparel,Bottomwear,Pants,White,Summer,2020.0,Formal,-,images/290.jpg
291,Women,Apparel,Bottomwear,Pants,White,Summer,2020.0,Formal,-,images/291.jpg
292,Women,Apparel,Bottomwear,Pants,White,Summer,2020.0,Formal,-,images/292.jpg
293,Women,Apparel,Bottomwear,Pants,White,Summer,2020.0,Formal,-,images/293.jpg
294,Women,Apparel,Bottomwear,Pants,White,Summer,2020.0,Formal,-,images/294.jpg
295,Women,Apparel,Bottomwear,Pants,White,Summer,2020.0,Formal,-,images/295.jpg
296,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Casual,-,images/296.jpg
297,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Casual,-,images/297.jpg
298,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Casual,-,images/298.jpg
299,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Casual,-,images/299.jpg
300,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Casual,-,images/300.jpg
301,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Casual,-,images/301.jpg
302,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Casual,-,images/302.jpg
303,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Casual,-,images/303.jpg
304,Men,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Casual,-,images/304.jpg
305,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/305.jpg
306,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/306.jpg
307,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/307.jpg
308,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/308.jpg
309,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/309.jpg
310,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/310.jpg
311,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/311.jpg
312,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/312.jpg
313,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/313.jpg
314,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/314.jpg
315,Men,Apparel,Bottomwear,Pants,Multi,Summer,2020.0,Casual,-,images/315.jpg
316,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Formal,-,images/316.jpg
317,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Formal,-,images/317.jpg
318,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Formal,-,images/318.jpg
319,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Formal,-,images/319.jpg
320,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Formal,-,images/320.jpg
321,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Formal,-,images/321.jpg
322,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Formal,-,images/322.jpg
323,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Formal,-,images/323.jpg
324,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Formal,-,images/324.jpg
325,Women,Apparel,Bottomwear,Pants,Pink,Summer,2020.0,Formal,-,images/325.jpg
326,Women,Apparel,Bottomwear,Pants,Navy Blue,Summer,2020.0,Formal,-,images/326.jpg
327,Women,Apparel,Bottomwear,Pants,Navy Blue,Summer,2020.0,Formal,-,images/327.jpg
328,Women,Apparel,Bottomwear,Pants,Navy Blue,Summer,2020.0,Formal,-,images/328.jpg
329,Women,Apparel,Bottomwear,Pants,Navy Blue,Summer,2020.0,Formal,-,images/329.jpg
330,Women,Apparel,Bottomwear,Pants,Navy Blue,Summer,2020.0,Formal,-,images/330.jpg
331,Women,Apparel,Bottomwear,Pants,Navy Blue,Summer,2020.0,Formal,-,images/331.jpg
332,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/332.jpg
333,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/333.jpg
334,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/334.jpg
335,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/335.jpg
336,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/336.jpg
337,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/337.jpg
338,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/338.jpg
339,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/339.jpg
340,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/340.jpg
341,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/341.jpg
342,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/342.jpg
343,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/343.jpg
344,Men,Apparel,Bottomwear,Pants,Red,Summer,2020.0,Sports,-,images/344.jpg
345,Women,Apparel,Bottomwear,Pants,Yellow,Summer,2020.0,Sports,-,images/345.jpg
