id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,filename
1,Men,Apparel,Topwear,Shirts,Cream,Summer,2020.0,Sports,-,images/1.jpg
2,Men,Apparel,Topwear,Shirts,Cream,Summer,2020.0,Sports,-,images/2.jpg
3,Men,Apparel,Topwear,Shirts,Cream,Summer,2020.0,Sports,-,images/3.jpg
4,Men,Apparel,Topwear,Shirts,Cream,Summer,2020.0,Sports,-,images/4.jpg
5,Men,Apparel,Topwear,Shirts,Cream,Summer,2020.0,Sports,-,images/5.jpg
6,Men,Apparel,Topwear,Shirts,Cream,Summer,2020.0,Sports,-,images/6.jpg
7,Men,Apparel,Topwear,Shirts,Cream,Summer,2020.0,Sports,-,images/7.jpg
8,Men,Apparel,Topwear,Shirts,Cream,Summer,2020.0,Sports,-,images/8.jpg
9,Men,Apparel,Topwear,Shirts,Cream,Summer,2020.0,Sports,-,images/9.jpg
10,Men,Apparel,Topwear,Shirts,Cream,Summer,2020.0,Sports,-,images/10.jpg
11,Women,Apparel,Topwear,Shirts,Black,Summer,2020.0,Formal,-,images/11.jpg
12,Women,Apparel,Topwear,Shirts,Black,Summer,2020.0,Formal,-,images/12.jpg
13,Women,Apparel,Topwear,Shirts,Black,Summer,2020.0,Formal,-,images/13.jpg
14,Women,Apparel,Topwear,Shirts,Black,Summer,2020.0,Formal,-,images/14.jpg
15,Women,Apparel,Topwear,Shirts,Black,Summer,2020.0,Formal,-,images/15.jpg
16,Women,Apparel,Topwear,Shirts,Black,Summer,2020.0,Formal,-,images/16.jpg
17,Women,Apparel,Topwear,Shirts,Black,Summer,2020.0,Formal,-,images/17.jpg
18,Women,Apparel,Topwear,Shirts,Black,Summer,2020.0,Formal,-,images/18.jpg
19,Women,Apparel,Topwear,Shirts,Black,Summer,2020.0,Formal,-,images/19.jpg
20,Women,Apparel,Topwear,Shirts,Black,Summer,2020.0,Formal,-,images/20.jpg
21,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/21.jpg
22,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/22.jpg
23,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/23.jpg
24,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/24.jpg
25,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/25.jpg
26,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/26.jpg
27,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/27.jpg
28,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/28.jpg
29,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/29.jpg
30,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/30.jpg
31,Woman,Apparel,Topwear,Shirts,Green,Summer,2020.0,Formal,-,images/31.jpg
32,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/32.jpg
33,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/33.jpg
34,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/34.jpg
35,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/35.jpg
36,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/36.jpg
37,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/37.jpg
38,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/38.jpg
39,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/39.jpg
40,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/40.jpg
41,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/41.jpg
42,Women,Apparel,Topwear,Shirts,White,Summer,2020.0,Formal,-,images/42.jpg
43,Women,Apparel,Topwear,Shirts,Pink,Summer,2020.0,Formal,-,images/43.jpg
44,Women,Apparel,Topwear,Shirts,Pink,Summer,2020.0,Formal,-,images/44.jpg
45,Women,Apparel,Topwear,Shirts,Pink,Summer,2020.0,Formal,-,images/45.jpg
46,Women,Apparel,Topwear,Shirts,Pink,Summer,2020.0,Formal,-,images/46.jpg
47,Women,Apparel,Topwear,Shirts,Pink,Summer,2020.0,Formal,-,images/47.jpg
48,Women,Apparel,Topwear,Shirts,Pink,Summer,2020.0,Formal,-,images/48.jpg
49,Women,Apparel,Topwear,Shirts,Pink,Summer,2020.0,Formal,-,images/49.jpg
